Location,Longitude,Latitude
RIVERSDALE_RD W OF WARRIGAL_RD,145.09626,-37.83741
RIVERSDALE_RD W of BURKE_RD,145.05505,-37.83284
RIVERSDALE_RD W of GLENFERRIE_RD,145.03208,-37.83015
RIVERSDALE_RD W of TOORONGA_RD,145.04614,-37.8318
RIVERSDALE_RD W of TRAFALGAR_RD,145.06202,-37.83362
S.E.ARTERIAL N OF HIGH_ST,145.058038,-37.8612671
SEVERN_ST S of DONCASTER_RD,145.06955,-37.79418
SEYMOUR_GV W of CAMBERWELL_RD,145.06057,-37.83756
STANHOPE_GV S of CANTERBURY_RD,145.06435,-37.82404
STUDLEY PARK_RD W of PRINCESS_ST,145.02704,-37.80892
SWAN_ST NE of MADDEN_GV,145.01644,-37.82859
SWAN_ST SW of MADDEN_GV,145.01456,-37.82903
TOORAK_RD E of BURKE_RD,145.05308,-37.84726
TOORAK_RD E of TOORONGA_RD,145.04508,-37.84686
TOORAK_RD W OF BURKE_RD,145.05205,-37.84714
TOORAK_RD W of WARRIGAL_RD,145.09407,-37.85187
TOORONGA_RD N of TOORAK_RD,145.04378,-37.84632
TOORONGA_RD S of RIVERSDALE_RD,145.04636,-37.83199
TRAFALGAR_RD N of RIVERSDALE_RD,145.06247,-37.83331
TRAFALGAR_RD NE of CAMBERWELL_RD,145.06119,-37.83738
TRAFALGAR_RD S of RIVERSDALE_RD,145.06233,-37.83394
UNION_RD N of MAROONDAH_HWY,145.09812,-37.81631
UNION_RD S of MAROONDAH_HWY,145.09802,-37.81682
VALERIE_ST W OF HIGH_ST,145.04864,-37.80063
VICTORIA_ST E OF BURNLEY_ST,145.00865,-37.81293
VICTORIA_ST W OF BURNLEY_ST,145.0083,-37.81296
WALMER_ST N OF VICTORIA_ST,145.00849,-37.81285
WARRIGAL_RD N OF RIVERSDALE_RD,145.09699,-37.83695
WARRIGAL_RD N of HIGH STREET_RD,145.09159,-37.86703
WARRIGAL_RD N of HIGHBURY_RD,145.09384,-37.85467
WARRIGAL_RD N of TOORAK_RD,145.0943457,-37.8516827
WARRIGAL_RD S OF RIVERSDALE_RD,145.09681,-37.83799
WARRIGAL_RD S of BURWOOD_HWY,145.09425,-37.85221
WARRIGAL_RD S of CANTERBURY_RD,145.09858,-37.82804
WARRIGAL_RD S of HIGH STREET_RD,145.09146,-37.8676
WARRIGAL_RD S of HIGHBURY_RD,145.09376,-37.85513
WHITEHORSE_RD E OF BALWYN_RD,145.08045,-37.8144
WHITEHORSE_RD E OF BURKE_RD,145.05982,-37.81193
WHITEHORSE_RD W OF BALWYN_RD,145.07951,-37.81429
WILLS_ST NW OF HIGH_ST,145.05744,-37.86088
